# $Id: LIM-Rules.csv,v 1.28 2008/02/29 22:59:45 gg2712 Exp $,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,LIM Error Text,LIM Error,Exception Type
EDIT_ERR,Missing Data: Exchange Code,LIM-InvalidData-08704,Missing Data: Exchange Code,LIM BIS,1,0,Missing Data: Exchange Code,ERR_LIM_INVALIDATA_MISSINGEXCHANGECODE,Invalid Data
EDIT_ERR,Missing BusinessUnit,LIM-InvalidData-01917,Missing Data: <%TAG=CLASS%s>:aContext.aProperties.BUSINESSUNIT. Reason: Missing Business Unit,LIM BIS,1,0,Missing Data: Business Unit,ERR_LIM_MISSING_BUSINESSUNIT,Invalid Data
EDIT_ERR,Missing postal and service address property,LIM-InvalidData-01918,Missing Data:  Postal Address Validation or the Service Address Validation Property must be specified,LIM BIS,1,0,Missing Data:  Postal Address Validation or the Service Address Validation Property must be specified,ERR_LIM_MISSING_ADDRESS_VALIDATION_PROPERTY,Invalid Data
EDIT_ERR,Specifying both Postal Address and Service Address properties in the same request is prohibited,LIM-BusinessViolation-01886,Specifying both Postal Address and Service Address properties in the same request is prohibited,LIM BIS,1,0,Specifying both Postal Address and Service Address properties in the same request is prohibited,ERR_LIM_BOTH_POSTAL_AND_SERVICE_ADDRESS_PROP_REQUESTED,Business Violation
EDIT_ERR,Only DataServices is allowed as the Provider Name for Postal Address Validation,LIM-BusinessViolation-01887,Only DataServices is allowed as the Provider Name for Postal Address Validation,LIM BIS,1,0,ILEC Provider Name can only be specified for Service Address Validation,ERR_LIM_INVALID_PROVIDER_NAME_ADDRESS_VALIDATION_REQUESTED,Business Violation
EDIT_ERR,Missing Data: Provider Name must be specified with a valid name.,LIM-InvalidData-01888,Missing Data: Provider Name must be specified with a valid name,LIM BIS,1,0,Provider Name must be specified with the name of DataServices or ILEC,ERR_LIM_PROVIDER_NAME_NOT_SPECIFIED,Invalid Data
EDIT_ERR,"Provider Name ""DataServices"" must be specified when two Provider Names are specified in the request.",LIM-BusinessViolation-02027,"Provider Name ""DataServices"" must be specified when two Provider Names are specified in the request.",LIM BIS,1,0,"Provider Name ""DataServices"" must be specified when two Provider Names are specified in the request.",ERR_LIM_INAVALID_PROVIDER_NAMES_COMBINATION,Business Violation
EDIT_ERR,Duplicate Provider Names are specified in the request.,LIM-BusinessViolation-02026,Duplicate Provider Names are specified in the request.,LIM BIS,1,0,Duplicate Provider Names are specified in the request.,ERR_LIM_DUPLICATE_PROVIDER_NAMES,Business Violation
EDIT_ERR,Can specify only one set of properties,LIM-BusinessViolation-02032,Can specify only one set of properties for application <%TAG=APPLNAME%s> and Business Unit <%TAG=BUSUNIT%s>,LIM BIS,1,0,Can specify only one set of properties,ERR_LIM_INVALID_PROPERTY_COMBINATION,Business Violation
EDIT_ERR,Cannot specify more than 2 sets of properties,LIM-BusinessViolation-02033,Cannot specify more than 2 sets of properties for application <%TAG=APPLNAME%s> and Business Unit <%TAG=BUSUNIT%s>,LIM BIS,1,0,Cannot specify more than 2 sets of properties,ERR_LIM_INVALID_RPOPERTIES_FROM_WINDS,Business Violation
