# $Id: LIM-PREMIS-Rules.csv,v 1.3 2003/03/21 19:24:44 dm2328 Exp $,,,,,,,,,
#Error Code,Error Text to Match,LIM Error Tag,LIM Output Description,Origin,Severity,BusinessRule,PREMIS Error Text,LIM Error,Exception Type
LIM_ERR,VicunaWrapperMultiplexerException,LIM-SystemFailure-00088,VicunaWrapperMulitplexerException.  Description: <%TAG=MSG%s>.,PREMIS,1,0,VicunaMultiplex Exception.,ERR_LIM_INTERNAL,System Failure
LIM_ERR,VicunaWrapperMultiplexerData,LIM-SystemFailure-00088,VicunaWrapperMultiplexerData Exception.  Description: Results from PREMIS request is missing for VicunaWrapperMultiplexerData element.,PREMIS,1,0,VicunaMultiplexData Exception.,ERR_LIM_INTERNAL,System Failure
ORACLE_ERR,Clec_Exco:DBConnection failed,LIM-SystemFailure-01022,SQL Exception in accessing CLEC_EXCO  Table.,Oracle DB,1,0,SQL Exception in accessing CLEC_EXCO  Table.,ERR_LIM_ACCESS_CLEC_EXCO_TABLE,System Failure
ORACLE_ERR,Clec_Exco:SQLException,LIM-SystemFailure-01022,SQL Exception in accessing CLEC_EXCO  Table.,Oracle DB,1,0,SQL Exception in accessing CLEC_EXCO  Table.,ERR_LIM_ACCESS_CLEC_EXCO_TABLE,System Failure
ORACLE_ERR,Clec_Exco:,LIM-SystemFailure-01022,SQL Exception in accessing CLEC_EXCO  Table.,Oracle DB,1,0,SQL Exception in accessing CLEC_EXCO  Table.,ERR_LIM_ACCESS_CLEC_EXCO_TABLE,System Failure
SVC_ERR,SAGA in HostLookup,LIM-ObjectNotFound-00002,Service not found.,PREMIS,1,0,Service not found.,ERR_LIM_SERVICE_NOT_FOUND,Object Not Found
SVC_ERR,Working Status,LIM-InvalidData-00113,Invalid Data. Reason:  TN is not in working status,PREMIS,1,0,Invalid Data. Reason:  TN is not in working status,ERR_LIM_TN_NOT_WORKING,Invalid Data
SVC_ERR,null,LIM-ObjectNotFound-00002,Service not found.,PREMIS,1,0,Service not found.,ERR_LIM_SERVICE_NOT_FOUND,Object Not Found
#Default,,,,,,,,,
null,null,LIM-SystemFailure-00095,Host System Exception Not Defined in PREMIS Rules File.,PREMIS,1,0,Unexpected error code - Internal error.,ERR_LIM_PREMISSERVER,System Failure
